eyeBlinkLeft,eyeBlinkRight,eyeSquintLeft,eyeSquintRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeWideLeft,eyeWideRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,jawForward,jawLeft,jawOpen,jawRight,mouthLeft,mouthRight,mouthFrownLeft,mouthFrownRight,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthDimpleLeft,mouthDimpleRight,mouthRollUpper,mouthRollLower,mouthShrugUpper,mouthLowerDown,mouthShrugLower,mouthFunnel,mouthPucker,mouthCompress,mouthUpperOut,FaceSneer,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,mouthUpperUpRight,mouthUpperUpLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthPressLeft,mouthPressRight,mouthClose,tongueOut
0.017335,0.017363,-0,-0,0,0,0.046285,0,0,0,0,0.046379,0.002767,0.002767,0.088396,0.088396,0.028732,0.055169,0.055169,0.004304153,-0.000067406334,0.15961571,0.0000017248649,-0.0001124968,-0.00052678725,0.008836197,0.0030667107,0.29867932,0.29885334,0.0005848408,0.0006131027,0.0015647355,0.0011421945,0.0009223325,0.00077967765,-0.000049864873,0.0035627969,0.00025812304,0.027529463,0.079247415,-0.000000014103321,-0.0007168597,0.0000000011558761,-0.00055254623,0.09221372,0.091656476,-0.0005471539,-0.0006639231,-0.000413633,-0.0004136329,0.10294985,0.1032594,-0.0005034059,-0.0003904067,0.0017977282,-0.000011792628
0.007297,0.007299,-0,-0,0,0,0.045903,0,0,0,0,0.046007,0.00262,0.00262,0.088821,0.088821,0.025254,0.055857,0.055857,0.0041603977,-0.000039576553,0.20916626,0.0000024743813,-0.000117043215,-0.00080927834,0.00970915,0.0029010843,0.25834265,0.25861695,0.000518376,0.00046361517,0.0014808811,0.00096587744,0.0010460038,0.00025281217,0.00004816428,0.0011480106,0.0012516724,0.038369995,0.12369922,-0.000000014060225,-0.00068447297,0.0000000012205429,-0.00097474223,0.077633664,0.07716458,-0.00063836947,-0.00059891585,-0.0006071726,-0.00060717243,0.082756184,0.08295445,-0.00044614542,-0.00028634816,0.002779495,-0.000015009282
0.003523,0.003517,-0,-0,0,0,0.045038,0,0,0,0,0.045145,0.002602,0.002602,0.089092,0.089092,0.022986,0.056172,0.056172,0.0033763768,-0.00039473549,0.21563801,0.000003229291,-0.00020718362,-0.0010843561,0.010118708,0.0024522045,0.23325998,0.23358825,0.0002069315,0.00007176865,0.00063482486,0.00028962828,0.001443217,0.00075522996,-0.00016120262,0.0012351591,0.0027406514,0.04167575,0.13023166,-0.000000013695757,-0.00057053776,0.0000000012454804,-0.0012675053,0.072985865,0.07265049,-0.00040250272,-0.00047226902,-0.0010734035,-0.0010734035,0.04859315,0.049137417,0.00046637002,0.00051706284,0.01218079,-0.000022386019
0.002989,0.00298,-0,-0,0,0,0.046095,0,0,0,0,0.0462,0.002428,0.002428,0.089151,0.089151,0.021709,0.05667,0.05667,0.0021612477,-0.00084590074,0.18093152,-0.00000008606639,-0.00016605554,-0.0012591775,0.009746784,0.0023107368,0.2029579,0.20317644,0.00008495711,0.00009296741,0.0011023823,0.0009416202,0.0010934053,0.0012201602,-0.0002416186,0.00076171383,0.0028192713,0.07278627,0.14534539,-0.00000001372956,0.00017336989,0.0000000013706134,-0.0012553036,0.07482513,0.074645236,0.00012259744,-0.00008123834,-0.0015393952,-0.0015393953,0.018194214,0.01861269,0.0018722285,0.0016682995,0.07245288,-0.000018183
0.003254,0.003243,-0,-0,0,0,0.047624,0,0,0,0,0.047721,0.002279,0.002279,0.088971,0.088971,0.021876,0.056901,0.056901,0.0009891829,-0.0005005291,0.13157545,-0.000001441289,-0.000100621735,-0.001393646,0.009079093,0.0025754415,0.19453041,0.1944951,0.0004136553,0.00053982344,0.0020146603,0.002145744,0.0003438471,0.0013499148,0.0005283179,0.011872814,0.0017133122,0.098903075,0.120771214,-0.000000013335569,0.000454559,0.0000000013909636,-0.0009311689,0.08703882,0.087000966,0.0006706109,0.00029646233,-0.0011733456,-0.0011733456,0.008723566,0.008862253,0.0024641873,0.001955199,0.10392959,-0.000014003872
0.00394,0.003939,-0,-0,0,0,0.050262,0,0,0,0,0.050357,0.001933,0.001933,0.089201,0.089201,0.02127,0.056561,0.056561,0.0015569292,0.00021659769,0.08746699,-0.0000013700537,-0.00003557006,-0.0013541174,0.008451814,0.0026183724,0.20008081,0.20001835,0.0008286284,0.00093405787,0.0024684137,0.0023988774,-0.0004724944,0.0005849218,0.0009680437,0.023868097,0.00061419373,0.08081547,0.07086691,-0.000000012347424,0.00037562312,0.0000000012823081,-0.00011012843,0.102673166,0.10287992,0.0010324335,0.0006707143,-0.0007788238,-0.00077882374,0.007317934,0.007613927,0.0023432383,0.0018881643,0.08785348,-0.000011091168
0.003709,0.003716,-0,-0,0,0,0.051919,0,0,0,0,0.052013,0.001748,0.001749,0.089607,0.089607,0.020649,0.055879,0.055879,0.0023165783,0.00034446083,0.044004343,0.00000008472216,-0.0000018829014,-0.000963137,0.008245034,0.0025893021,0.22206458,0.22210649,0.0011134613,0.0011674156,0.003199025,0.0025494527,-0.00035692472,-0.00014148839,0.0008782847,0.041106302,-0.000102277845,0.028561871,0.0147381835,-0.000000011355513,0.00013858755,0.0000000010544261,-0.0004218123,0.1086638,0.10897941,0.00071340427,0.00053355005,-0.0008585465,-0.00085854647,0.008937525,0.009270286,0.0016633421,0.0016297046,0.047413547,-0.000007869527
0.003985,0.003992,-0,-0,0,0,0.051198,0,0,0,0,0.051297,0.001787,0.001787,0.089876,0.089876,0.020644,0.055062,0.055062,0.0022842344,0.00036029983,0.016183518,0.0000016739477,-0.000049409875,-0.00026756665,0.008201625,0.0023040094,0.24421719,0.24361464,0.0011684829,0.0012118584,0.0030908044,0.0016907305,-0.0007349821,-0.000558055,0.003530384,0.06315278,-0.00096063176,-0.0031422414,0.0039476454,-0.000000011023981,-0.00003490853,0.0000000009625689,0.00058215065,0.11135557,0.11131339,0.0002933992,0.000012038276,-0.00091993937,-0.0009199395,0.007971144,0.008127511,0.0010841154,0.0011976939,0.0137351155,-0.000006046299
0.001875,0.001873,-0,-0,0,0,0.050829,0,0,0,0,0.050932,0.001827,0.001827,0.089667,0.089667,0.022073,0.054612,0.054612,0.0023963414,0.0006500436,0.004455801,0.00000034150708,0.000058416947,0.0004420611,0.007755826,0.0028974127,0.2522516,0.2518519,0.0011615371,0.0012677656,0.010658674,0.009691273,-0.0014842921,-0.0011666175,0.0015243823,0.0753776,-0.0020531262,-0.011312734,0.0024493597,-0.000000010979999,-0.00010062219,0.00000000087298446,0.00070402725,0.10753994,0.10730626,0.00046797842,-0.000015538186,-0.00022370646,-0.00022370653,0.0017932206,0.001567157,0.0007944722,0.0008068932,0.0037397332,-0.000004496236
0.002379,0.00237,-0,-0,0,0,0.004346,0,0,0,0,0.004453,0.002022,0.002022,0.089572,0.089572,0.022909,0.054058,0.054058,0.0023218254,0.00060286745,0.001313284,-0.0000018703386,0.00020598674,0.00059933914,0.007640449,0.0036929434,0.24716094,0.24702933,0.00076872203,0.0009436188,0.017286193,0.01697694,-0.0017357292,-0.0009913119,0.0009626495,0.06391171,-0.0033140401,-0.012569074,0.00020387396,-0.00000001106003,-0.000012295321,0.00000000080789714,0.00080664083,0.09285704,0.09239156,0.0004495792,-0.00018788874,-0.00041575998,-0.00041576024,-0.0004974436,-0.00084462576,0.0009884788,0.00079790596,0.0010805055,-0.0000022640124
0.001306,0.001301,-0,-0,0,0,0,0.078884,0,0,0.078991,0,0.002134,0.002134,0.088935,0.088935,0.024757,0.054099,0.054099,0.0021661697,0.00027887244,-0.001740925,-0.0000027723163,0.00026074558,0.0006992193,0.00798052,0.0042664493,0.25062817,0.25073272,0.0005366355,0.0008187862,0.016358305,0.016226301,-0.00092344545,-0.00040141307,0.00066703744,0.04736203,-0.0034765587,-0.013809081,-0.00034625828,-0.000000011419252,0.00009282911,0.00000000085696117,0.0008006082,0.081080765,0.08016749,0.00001850538,-0.0007221252,-0.000440564,-0.00044056412,-0.00075921044,-0.0012445096,-0.000008940697,-0.00029593427,-0.0008566901,-0.00000086506043
0,0,-0,-0,0,0,0,0.129572,0,0,0.129671,0,0.003205,0.003205,0.0873,0.0873,0.028309,0.055377,0.055377,0.0024687955,-0.00006221142,-0.0037712455,-0.000003643353,0.00027187818,0.00068814214,0.0083106235,0.0043790946,0.25073218,0.2509356,0.00038894918,0.0007624412,0.014682066,0.014909134,-0.00043387292,-0.00004931353,0.0005894713,0.03368521,-0.00328201,-0.016258176,-0.00022611767,-0.000000011718676,0.00015861867,0.000000000929869,0.0007494923,0.068924665,0.06769648,-0.00029488746,-0.0010873899,-0.0003528359,-0.0003528361,0.00009571202,-0.00045985729,-0.00018922146,-0.0005523525,-0.0017316937,-0.0000011567936
0.021314,0.02139,-0,-0,0.011998,0.011998,0,0.141491,0,0,0.141568,0,0,0,0.084905,0.084905,0.034747,0.058114,0.058114,0.0027396996,-0.0003759656,-0.0048577935,-0.0000041232297,0.00029179378,0.0007914733,0.007968262,0.0034753296,0.24675693,0.24688742,0.00029027648,0.0007375134,0.012338054,0.012757302,-0.0001637144,0.000007022172,0.0005983487,0.025183965,-0.0029790788,-0.02046882,-0.00003875792,-0.0000000119190835,0.0003470902,0.0000000010013171,0.0006563999,0.059172355,0.058001637,-0.0002377294,-0.00093051605,-0.00028343644,-0.00028343665,0.00065989234,0.000022010878,-0.00003747642,-0.0004403321,-0.0021751449,-0.0000007088893
