eyeBlinkLeft,eyeBlinkRight,eyeSquintLeft,eyeSquintRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeWideLeft,eyeWideRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,jawForward,jawLeft,jawOpen,jawRight,mouthLeft,mouthRight,mouthFrownLeft,mouthFrownRight,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthDimpleLeft,mouthDimpleRight,mouthRollUpper,mouthRollLower,mouthShrugUpper,mouthLowerDown,mouthShrugLower,mouthFunnel,mouthPucker,mouthCompress,mouthUpperOut,FaceSneer,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,mouthUpperUpRight,mouthUpperUpLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthPressLeft,mouthPressRight,mouthClose,tongueOut
-0,-0,-0,-0,0,0,0,0.044601,0,0,0.044609,0,0.01522,0.01522,-0,-0,0.050953,0.103579,0.103579,0.00055856036,-0.000064224376,0.035055637,-0.00000048712394,0.000025873762,-0.00014618412,0.00017051437,0.00036945354,0.15090697,0.15113868,-0.0000425905,-0.00005877428,0.024257395,0.030645913,-0.00020005535,-0.00015590937,0.000579796,0.02092016,0.00011498611,0.007819663,0.04515403,-0.000000005982655,-0.000056748373,0.00000000037613265,-0.000093574265,0.11717121,0.1174141,0.00045228863,0.00047519972,0.00012301975,0.00012301975,0.0024737285,0.0025938996,0.00072882365,0.0005834829,0.0075855437,0.0000012180055
0.390489,0.390343,-0,-0,0.033417,0.033417,0,0.017236,0,0,0.017245,0,0,0,0.01256,0.01256,0.045689,0.089557,0.089557,-0.00017153099,-0.00007766933,0.074380085,-0.0000019004714,-0.0000043911964,-0.000022855029,0.0002831992,0.00044268725,0.28689083,0.28725776,-0.000082878025,-0.00010688678,0.015189753,0.019422665,-0.0001271382,-0.0006412946,0.0011625051,0.07046657,-0.00038730688,0.02777727,0.074300624,-0.000000012021275,0.00033413022,0.00000000085972324,0.00005402677,0.14159031,0.14151332,0.00050414505,0.0002757892,0.00021218555,0.0002121856,0.004016535,0.0040638954,0.00058318826,0.00026049913,0.014079235,0.0000029173448
0.931044,0.930815,-0,-0,0.117855,0.117855,0.00705,0,0,0,0,0.00707,0,0,0.02611,0.02611,0.040267,0.075155,0.075155,-0.0003858069,-0.00017346535,0.08813381,-0.0000023194734,-0.00015673816,-0.00011811592,0.000519055,-0.00028614467,0.36851138,0.36880767,0.00019100495,0.0002151141,0.0012227967,0.0030974785,0.000810368,-0.00062337983,0.0008998094,0.115540475,-0.00070236204,0.030657217,0.04282849,-0.000000014431322,-0.000059001846,0.0000000010945843,-0.00015579117,0.1444273,0.14411294,0.0001966469,-0.000014565885,0.000052415373,0.000052415417,0.0068750167,0.0067458097,0.000031578355,-0.00010681618,0.0058880895,0.0000028730283
1,1,-0,-0,0.163067,0.163067,0.022196,0,0,0,0,0.022233,0,0,0.038573,0.038573,0.035331,0.063368,0.063368,-0.000580919,-0.0002307389,0.055514455,-0.0000012891787,-0.00014483715,-0.0002183523,0.0043343697,0.003148866,0.37705013,0.37703112,-0.000076772645,-0.00020524208,0.00069635175,0.0019094534,0.0001971256,-0.000037115067,0.00066065975,0.13826099,-0.00018972252,0.017801914,0.0060056597,-0.00000001405329,-0.000068243826,0.000000000985872,-0.00036181742,0.12920351,0.12928163,0.0005698567,0.00045166444,0.00008682975,0.00008682965,0.018169034,0.018654568,0.00014181249,0.00018816255,0.0022514984,0.0000023267567
0.731231,0.731509,-0,-0,0.15378,0.15378,0.025231,0,0,0,0,0.025277,0,0,0.048969,0.048969,0.035053,0.057944,0.057944,-0.0006175162,-0.0005025072,0.034840085,-0.0000011778293,-0.0001656152,-0.0001450805,0.005087666,0.0035301489,0.37527153,0.37490553,-0.00025865436,-0.00031626597,0.00055945665,0.0016129129,-0.00022478774,-0.000089391135,0.00048060622,0.14792798,0.00017312588,0.010423895,0.0023688711,-0.000000013981824,-0.000059035607,0.00000000092586533,-0.00028631976,0.124145135,0.12429662,0.0005344311,0.0005035056,0.00039675302,0.00039675308,0.030746646,0.031219432,0.000029494986,0.000140585,0.0027683899,-0.00000067996734
0.516083,0.516411,-0,-0,0.129409,0.129409,0.024786,0,0,0,0,0.024837,0,0,0.057897,0.057897,0.036749,0.056374,0.056374,-0.0005915789,-0.00036483072,0.03263475,-0.00000064743836,-0.00019385456,0.000060572755,0.005779894,0.0037920258,0.3715772,0.37107474,-0.00021659303,-0.00017939322,0.00044644624,0.0014805319,-0.0005660271,0.00014870148,0.00079380535,0.15843458,0.000113217626,0.0060612075,0.0024327226,-0.000000014259094,-0.0001239907,0.0000000008741215,-0.000031055184,0.11857946,0.11850765,0.000079969876,0.00010787696,0.0010901496,0.0010901494,0.05108827,0.051371675,-0.00019027293,-0.00004169438,0.0034667142,-0.000002105633
0.359171,0.359416,-0,-0,0.096924,0.096924,0.028375,0,0,0,0,0.028435,0,0,0.06616,0.06616,0.038883,0.05572,0.05572,0.00016383175,-0.00003106799,0.050590627,-0.000001230932,-0.00013044328,0.0002865498,0.0062244292,0.004288749,0.37681952,0.3766363,-0.00007932447,0.00002470985,0.0010342374,0.0020795045,-0.00065359287,0.000027524307,0.0010741875,0.16840303,-0.00035777083,0.010883454,0.0025303774,-0.000000014886219,-0.00030950038,0.00000000082901785,0.00021921471,0.11483336,0.114684105,-0.00026790053,-0.00016211439,0.0014968149,0.0014968149,0.07314032,0.0730882,-0.00032266043,-0.00018939562,0.001717966,0.00000055575583
0.226368,0.226536,-0,-0,0.062132,0.062132,0.037182,0,0,0,0,0.037252,0,0,0.074066,0.074066,0.038982,0.055068,0.055068,0.0005177641,0.00011267513,0.08382267,-0.00000070820624,-0.00010649754,0.00013032602,0.0069974847,0.004423477,0.39032802,0.39020285,0.000028670765,0.00019829348,0.0026425896,0.0040568737,-0.00047212187,0.00010266062,0.0010730494,0.17561491,-0.00032392843,0.008722786,0.0034898408,-0.000000015540742,-0.00011352007,0.0000000008147522,0.00036533969,0.11060864,0.110437185,-0.00047742203,-0.00031664595,0.0014983674,0.0014983667,0.081816465,0.08140986,-0.00022693258,-0.000095897354,0.0015172027,0.0000014854741
0.120561,0.120666,-0,-0,0.03006,0.03006,0.043819,0,0,0,0,0.043897,0,0,0.081107,0.081107,0.036468,0.054584,0.054584,0.0014403015,0.00028831325,0.1562572,0.00000020202697,-0.00009595904,0.000069114845,0.00749264,0.004190617,0.39547607,0.3953156,0.0003057178,0.0006051222,0.0037862184,0.0053015593,-0.00027744146,0.00010513514,0.0012950348,0.12385977,-0.00030558137,0.011305105,0.0050396547,-0.00000001622043,0.00021588942,0.0000000009386416,0.0005333724,0.104606085,0.10434126,-0.0007283157,-0.0005196063,0.0018214207,0.0018214209,0.11539429,0.11470656,-0.00009264704,-0.0000022761524,0.0035132319,-0.00000002399247
0.049308,0.04937,-0,-0,0.006473,0.006473,0.047026,0,0,0,0,0.047112,0,0,0.086295,0.086295,0.032394,0.054643,0.054643,0.0028304402,0.0001896713,0.2602682,0.0000018463616,-0.00007143681,0.000018034596,0.0073048314,0.0035589328,0.39873034,0.3987736,0.0003619399,0.0007069465,0.0046841633,0.006571833,0.000078825746,0.00057128165,0.0005985247,0.08978518,0.0001373305,0.01836818,0.008184619,-0.000000016672793,0.0008092078,0.0000000010125609,0.00037576864,0.089552216,0.08931508,-0.0009435257,-0.00070999097,0.00117946,0.0011794601,0.13527137,0.1345536,0.00079679955,0.0007872544,0.0070127062,-0.0000061002393
